Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Damage :: Bleed
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) takes? (?<value>\d*) .*(?<source>damage) from (?<type>.*)ing[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:19:36 : bleed      : damage                    : Soda                      :                           :              :              : 27    
16:20:13 : bleed      : damage                    : Jill                      :                           :              :              : 44    
16:20:15 : bleed      : damage                    : Bozo                      :                           :              :              : 21    
16:20:16 : bleed      : damage                    : Bozo                      :                           :              :              : 35    
16:20:16 : bleed      : damage                    : Bozo                      :                           :              :              : 27    
16:20:17 : bleed      : damage                    : Sax                       :                           :              :              : 23    
16:20:17 : bleed      : damage                    : Bozo                      :                           :              :              : 28    
16:20:18 : bleed      : damage                    : Bozo                      :                           :              :              : 25    
16:20:18 : bleed      : damage                    : Sax                       :                           :              :              : 51    
16:20:19 : bleed      : damage                    : Bozo                      :                           :              :              : 24    
16:20:20 : bleed      : damage                    : Bozo                      :                           :              :              : 35    
16:20:20 : bleed      : damage                    : Bozo                      :                           :              :              : 35    
16:20:21 : bleed      : damage                    : Bozo                      :                           :              :              : 24    
16:20:22 : bleed      : damage                    : Bozo                      :                           :              :              : 22    
16:20:22 : bleed      : damage                    : Bozo                      :                           :              :              : 28    
16:20:23 : bleed      : damage                    : Bozo                      :                           :              :              : 19    
16:20:24 : bleed      : damage                    : Bozo                      :                           :              :              : 18    
16:20:24 : bleed      : damage                    : Qwert                     :                           :              :              : 71    
16:20:25 : bleed      : damage                    : Bozo                      :                           :              :              : 5     
16:20:25 : bleed      : damage                    : Sax                       :                           :              :              : 33    
16:20:25 : bleed      : damage                    : Qwert                     :                           :              :              : 113   
16:20:25 : bleed      : damage                    : Bozo                      :                           :              :              : 9     
16:20:26 : bleed      : damage                    : Qwert                     :                           :              :              : 75    
16:20:26 : bleed      : damage                    : Bozo                      :                           :              :              : 16    
16:20:26 : bleed      : damage                    : Qwert                     :                           :              :              : 55    
16:20:27 : bleed      : damage                    : Qwert                     :                           :              :              : 88    
16:21:15 : bleed      : damage                    : Zadok                     :                           :              :              : 38    
16:21:16 : bleed      : damage                    : Zadok                     :                           :              :              : 59    
16:21:16 : bleed      : damage                    : TheHerp                   :                           :              :              : 64    
16:21:16 : bleed      : damage                    : Zadok                     :                           :              :              : 57    
16:21:16 : bleed      : damage                    : TheHerp                   :                           :              :              : 48    
16:21:17 : bleed      : damage                    : Zadok                     :                           :              :              : 116   
16:21:17 : bleed      : damage                    : TheHerp                   :                           :              :              : 39    
16:21:17 : bleed      : damage                    : Zadok                     :                           :              :              : 59    
