Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Heal :: Apos
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.+)[r']+[s]? (?<ability>.+'+.+) (?<type>heal)s (?<target>.*) for (?<value>\d*) points[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:42 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 9     
16:13:42 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 9     
16:13:42 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 9     
16:13:42 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 9     
16:13:50 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 245   
16:13:50 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 189   
16:13:51 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 250   
16:13:57 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 237   
16:13:57 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 213   
16:13:57 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 280   
16:13:58 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 283   
16:13:58 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 219   
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 215   
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:58 : heal       : Rylix                     : Rylix                     : Stalker's Resiliance      :              :              : 248   
16:13:58 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:59 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:59 : heal       : Rylix                     : Rylix                     : Relgor's Restorative Elixir :              :              : 9     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
