Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Call the Sky's Fury
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*)[r']?[s]? (?<ability>Call the Sky.*) (?<type>.{3,8})s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:43:05 : shock      : Dispel's                  : blackgurl                 : Call the Sky's Fury       :              :              : 507   
01:43:05 : shock      : Dispel's                  : blackgurl                 : Call the Sky's Fury       :              :              : 279   
01:43:06 : shock      : wreck's                   : you                       : Call the Sky's Fury       :              :              : 171   
01:43:06 : shock      : Dispel's                  : wreck                     : Call the Sky's Fury       :              :              : 365   
01:43:06 : shock      : HuntyPet's                : Bambi                     : Call the Sky's Fury       :              :              : 313   
01:43:07 : shock      : wreck's                   : you                       : Call the Sky's Fury       :              :              : 142   
01:43:07 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 401   
01:43:07 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 364   
01:43:07 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 269   
01:43:07 : shock      : Your                      : KSlater                   : Call the Sky's Fury       :              :              : 387   
01:43:07 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 444   
01:43:07 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 383   
01:43:07 : shock      : Your                      : KSlater                   : Call the Sky's Fury       :              :              : 355   
01:43:07 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 437   
01:43:08 : shock      : Your                      : KSlater                   : Call the Sky's Fury       :              :              : 236   
01:43:08 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 405   
01:43:08 : shock      : Dispel's                  : wreck                     : Call the Sky's Fury       :              :              : 622   
01:43:08 : shock      : Your                      : KSlater                   : Call the Sky's Fury       :              :              : 1124  
01:43:08 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 1054  
01:43:08 : shock      : wreck's                   : you                       : Call the Sky's Fury       :              :              : 58    
01:43:08 : shock      : Dispel's                  : wreck                     : Call the Sky's Fury       :              :              : 470   
01:43:08 : shock      : wreck's                   : you                       : Call the Sky's Fury       :              :              : 118   
01:43:08 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 698   
01:43:14 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 107   
01:43:15 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 101   
01:43:15 : shock      : Your                      : Rain                      : Call the Sky's Fury       :              :              : 122   
01:43:15 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 120   
01:43:15 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 61    
01:43:15 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 84    
01:43:15 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 884   
01:43:16 : shock      : Your                      : Bambi                     : Call the Sky's Fury       :              :              : 731   
01:43:16 : shock      : HuntyPet's                : Bambi                     : Call the Sky's Fury       :              :              : 826   
01:43:16 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 139   
01:43:16 : shock      : Dispel's                  : Bambi                     : Call the Sky's Fury       :              :              : 887   
01:43:16 : shock      : Your                      : Bambi                     : Call the Sky's Fury       :              :              : 640   
01:43:16 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 139   
01:43:16 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 221   
01:43:16 : shock      : Dispel's                  : blackgurl                 : Call the Sky's Fury       :              :              : 207   
01:43:17 : shock      : HuntyPet's                : blackgurl                 : Call the Sky's Fury       :              :              : 233   
01:43:17 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:17 : shock      : HuntyPet's                : blackgurl                 : Call the Sky's Fury       :              :              : 388   
01:43:17 : shock      : Dispel's                  : blackgurl                 : Call the Sky's Fury       :              :              : 202   
01:43:17 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:17 : shock      : HuntyPet's                : blackgurl                 : Call the Sky's Fury       :              :              : 95    
01:43:17 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:17 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:17 : shock      : Dispel's                  : wreck                     : Call the Sky's Fury       :              :              : 107   
01:43:17 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 96    
01:43:17 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:18 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:18 : shock      : Dispel's                  : wreck                     : Call the Sky's Fury       :              :              : 75    
01:43:18 : shock      : HuntyPet's                : wreck                     : Call the Sky's Fury       :              :              : 64    
01:43:18 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:18 : shock      : Rain's                    : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:18 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 112   
01:43:18 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:18 : shock      : Your                      : KSlater                   : Call the Sky's Fury       :              :              : 439   
01:43:18 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 480   
01:43:18 : shock      : Dispel's                  : Rain                      : Call the Sky's Fury       :              :              : 113   
01:43:18 : shock      : Your                      : Rain                      : Call the Sky's Fury       :              :              : 95    
01:43:18 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
01:43:19 : shock      : HuntyPet's                : KSlater                   : Call the Sky's Fury       :              :              : 510   
01:43:19 : shock      : HuntyPet's                : Rain                      : Call the Sky's Fury       :              :              : 427   
01:43:19 : shock      : Your                      : Rain                      : Call the Sky's Fury       :              :              : 329   
01:43:19 : shock      : wreck's                   : TyyppVee                  : Call the Sky's Fury       :              :              : 303   
