Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Power :: Execute
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?) (?<type>execute)s? [\Wa]?(?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:43:03 : execute    : Bambi                     :                           : Heart Seeker              :              :              :       
01:43:04 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:43:04 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:43:04 : execute    : Bambi                     :                           : Pommel Strike             :              :              :       
01:43:05 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:43:05 : execute    : Bambi                     :                           : Grimtooth                 :              :              :       
01:43:05 : execute    : Bambi                     :                           : Rakish Jab                :              :              :       
01:43:05 : execute    : Bambi                     :                           : Heart Seeker              :              :              :       
01:43:05 : execute    : HuntyPet                  :                           : Grounding Shot            :              :              :       
01:43:05 : execute    : Bambi                     :                           : Torturer's Scalpel        :              :              :       
01:43:06 : execute    : Bambi                     :                           : Bloody Slice              :              :              :       
01:43:06 : execute    : Dispel                    :                           : Grounding Shot            :              :              :       
01:43:07 : execute    : TyyppVee                  :                           : Grounding Shot            :              :              :       
01:43:07 : execute    : Bambi                     :                           : Rakish Jab                :              :              :       
01:43:07 : execute    : Bambi                     :                           : Heart Seeker              :              :              :       
01:43:07 : execute    : Bambi                     :                           : Grimtooth                 :              :              :       
01:43:07 : execute    : Bambi                     :                           : Torturer's Scalpel        :              :              :       
01:43:07 : execute    : Bambi                     :                           : Pommel Strike             :              :              :       
01:43:08 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:43:08 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:43:12 : execute    : Dispel                    :                           : Claw                      :              :              :       
01:43:12 : execute    : Dispel                    :                           : Growl                     :              :              :       
01:43:14 : execute    : TyyppVee                  :                           : Kenaryn's Mark            :              :              :       
01:43:15 : execute    : TyyppVee                  :                           : Wicked Barb               :              :              :       
01:43:16 : execute    : Dispel                    :                           : Kenaryn's Mark            :              :              :       
01:43:16 : execute    : Bambi                     :                           : Rakish Jab                :              :              :       
01:43:17 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:43:18 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:43:18 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:43:19 : execute    : TyyppVee                  :                           : Kenaryn's Mark            :              :              :       
01:43:20 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:43:20 : execute    : HuntyPet                  :                           : Grounding Shot            :              :              :       
01:43:21 : execute    : Dispel                    :                           : Naargal's Dart            :              :              :       
01:43:21 : execute    : kwx                       :                           : Wicked Barb               :              :              :       
01:43:21 : execute    : kwx                       :                           : Hornet's Sting            :              :              :       
01:43:21 : execute    : HuntyPet                  :                           : Naargal's Dart            :              :              :       
01:43:21 : execute    : kwx                       :                           : Kenaryn's Mark            :              :              :       
01:43:21 : execute    : kwx                       :                           : Eagle's Aim               :              :              :       
