Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Evade :: Block You
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*) (?<type>block)[s]? (?<source>.*)'s .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:15:22 : block      : Soda                      : Prodriver                 :                           :              :              :       
16:15:22 : block      : Soda                      : HolyThug                  :                           :              :              :       
16:15:22 : block      : HolyThug                  : Soda                      :                           :              :              :       
16:15:22 : block      : Moony                     : Soda                      :                           :              :              :       
16:15:23 : block      : Moony                     : Soda                      :                           :              :              :       
16:15:23 : block      : Moony                     : Soda                      :                           :              :              :       
16:15:23 : block      : Moony                     : Soda                      :                           :              :              :       
16:15:23 : block      : Moony                     : Soda                      :                           :              :              :       
16:15:24 : block      : Moony                     : Uther Eats                :                           :              :              :       
16:15:25 : block      : Sithranis                 : Healn                     :                           :              :              :       
16:15:33 : block      : Rokaw                     : MDAZJ BH                  :                           :              :              :       
16:15:33 : block      : Typechi                   : MDAZJ BH                  :                           :              :              :       
16:15:35 : block      : Typechi                   : HHDD k� BH                :                           :              :              :       
16:15:35 : block      : Typechi                   : HHDD k� BH                :                           :              :              :       
16:15:36 : block      : Sasss y                   : HHDD k� BH                :                           :              :              :       
16:15:38 : block      : Typechi                   : FYms BH                   :                           :              :              :       
16:15:38 : block      : SOMEONE                   : Typechi                   :                           :              :              :       
16:15:38 : block      : lii                       : Typechi                   :                           :              :              :       
16:15:38 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:39 : block      : lii                       : YOU                       :                           :              :              :       
16:15:39 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:39 : block      : lii                       : YOU                       :                           :              :              :       
16:15:39 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:39 : block      : eka BH                    : Typechi                   :                           :              :              :       
16:15:40 : block      : SOMEONE                   : YOU                       :                           :              :              :       
16:15:40 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:40 : block      : lii                       : YOU                       :                           :              :              :       
16:15:40 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:40 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:40 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:41 : block      : lii                       : YOU                       :                           :              :              :       
16:15:41 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:41 : block      : lii                       : YOU                       :                           :              :              :       
16:15:41 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:41 : block      : lii                       : YOU                       :                           :              :              :       
16:15:41 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:41 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:41 : block      : lii                       : YOU                       :                           :              :              :       
16:15:42 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:42 : block      : lii                       : YOU                       :                           :              :              :       
16:15:42 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:42 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:42 : block      : lii                       : YOU                       :                           :              :              :       
16:15:43 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:43 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:43 : block      : Rokaw                     : Mushi sec  BH             :                           :              :              :       
16:15:43 : block      : lii                       : YOU                       :                           :              :              :       
16:15:43 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:43 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:43 : block      : xxOxx                     : YOU                       :                           :              :              :       
16:15:43 : block      : lii                       : YOU                       :                           :              :              :       
16:15:43 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:43 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:43 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:44 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:44 : block      : Typechi                   : TOET �  BH               :                           :              :              :       
16:15:44 : block      : xxOxx                     : YOU                       :                           :              :              :       
16:15:44 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:44 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:45 : block      : SPA � BH                 : Sax                       :                           :              :              :       
16:15:45 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:45 : block      : eka BH                    : YOU                       :                           :              :              :       
16:15:46 : block      : xxOxx                     : YOU                       :                           :              :              :       
16:15:46 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:46 : block      : xxOxx                     : YOU                       :                           :              :              :       
16:15:46 : block      : YiP                       : Mushi sec  BH             :                           :              :              :       
16:15:46 : block      : YEP                       : Mushi sec  BH             :                           :              :              :       
16:15:46 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:46 : block      : YiP                       : Mushi sec  BH             :                           :              :              :       
16:15:47 : block      : YiP                       : Mushi sec  BH             :                           :              :              :       
16:15:47 : block      : EarthZS BH                : YOU                       :                           :              :              :       
16:15:48 : block      : EarthZS BH                : stuffed mufff             :                           :              :              :       
16:15:48 : block      : YiP                       : Sauce                     :                           :              :              :       
16:15:48 : block      : Spanky noodle             : TypeVee                   :                           :              :              :       
16:15:49 : block      : EarthZS BH                : LeiBruc                   :                           :              :              :       
16:15:49 : block      : EarthZS BH                : LeiBruc                   :                           :              :              :       
16:15:49 : block      : EarthZS BH                : LeiBruc                   :                           :              :              :       
16:15:49 : block      : Spanky noodle             : TypeVee                   :                           :              :              :       
16:15:49 : block      : SPA � BH                 : LeiBruc                   :                           :              :              :       
16:15:49 : block      : SPA � BH                 : LeiBruc                   :                           :              :              :       
16:15:49 : block      : EarthZS BH                : LeiBruc                   :                           :              :              :       
16:15:50 : block      : EarthZS BH                : LeiBruc                   :                           :              :              :       
16:15:50 : block      : SOMEONE                   : LeiBruc                   :                           :              :              :       
16:15:50 : block      : eka BH                    : LeiBruc                   :                           :              :              :       
16:15:52 : block      : lii                       : LeiBruc                   :                           :              :              :       
16:15:52 : block      : eka BH                    : LeiBruc                   :                           :              :              :       
16:15:52 : block      : lii                       : LeiBruc                   :                           :              :              :       
16:15:53 : block      : Sasss y                   : TOET �  BH               :                           :              :              :       
16:15:53 : block      : Sasss y                   : TOET �  BH               :                           :              :              :       
16:15:53 : block      : Typechi                   : TOET �  BH               :                           :              :              :       
16:15:55 : block      : DRChuckIt                 : FYsz BH                   :                           :              :              :       
16:15:55 : block      : Sauce                     : FYsz BH                   :                           :              :              :       
16:15:55 : block      : DRChuckIt                 : FYsz BH                   :                           :              :              :       
16:15:55 : block      : DRChuckIt                 : FYsz BH                   :                           :              :              :       
16:15:55 : block      : Rokaw                     : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Rokaw                     : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Sax                       : FYsz BH                   :                           :              :              :       
16:15:56 : block      : DRChuckIt                 : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Rokaw                     : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Sauce                     : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Sax                       : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Rokaw                     : FYsz BH                   :                           :              :              :       
16:15:56 : block      : Sauce                     : FYsz BH                   :                           :              :              :       
16:16:03 : block      : SOMEONE                   : Hellio Cherio             :                           :              :              :       
16:16:03 : block      : the Vashteera's Thrall    : Hellio Cherio             :                           :              :              :       
16:16:04 : block      : the Vashteera's Thrall    : Hellio Cherio             :                           :              :              :       
16:16:05 : block      : PBAOE                     : dwh dw BH                 :                           :              :              :       
16:16:05 : block      : Tupoc                     : Ims �; BH                 :                           :              :              :       
16:16:05 : block      : Tupoc                     : Ims �; BH                 :                           :              :              :       
16:16:05 : block      : PBAOE                     : dwh dw BH                 :                           :              :              :       
16:16:06 : block      : HuntyPet Cobra            : Yixim BH                  :                           :              :              :       
16:16:07 : block      : the Vashteera's Companion : Yixim BH                  :                           :              :              :       
16:16:08 : block      : lover                     : Yixim BH                  :                           :              :              :       
16:16:08 : block      : HuntyPet Cobra            : dwh dw BH                 :                           :              :              :       
16:16:09 : block      : HuntyPet Cobra            : brms ;�Q BH               :                           :              :              :       
16:16:10 : block      : the Vashteera's Companion : brms ;�Q BH               :                           :              :              :       
16:16:10 : block      : the Vashteera's Companion : brms ;�Q BH               :                           :              :              :       
16:16:10 : block      : the Vashteera's Companion : brms ;�Q BH               :                           :              :              :       
16:16:11 : block      : the Vashteera's Companion : brms ;�Q BH               :                           :              :              :       
16:16:15 : block      : HuntyPet Cobra            : KooP BH                   :                           :              :              :       
16:16:15 : block      : Dispel Cobra              : Libai BH                  :                           :              :              :       
16:16:16 : block      : PBAOE                     : TOKR �  BH               :                           :              :              :       
16:16:17 : block      : HuntyPet Cobra            : Hwsz  BH                :                           :              :              :       
16:16:17 : block      : HuntyPet Cobra            : Hwsz  BH                :                           :              :              :       
16:16:17 : block      : HuntyPet Cobra            : Hwsz  BH                :                           :              :              :       
16:16:17 : block      : lover                     : Hwsz  BH                :                           :              :              :       
16:16:18 : block      : HuntyPet Cobra            : Hwsz  BH                :                           :              :              :       
16:16:20 : block      : HuntyPet Cobra            : dwh dw BH                 :                           :              :              :       
16:16:21 : block      : Dispel Cobra              : dwh dw BH                 :                           :              :              :       
