Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:41:59 : burn       : Sniper                    : BigBlackBen               : Incendiary Blast          :              :              : 291   
01:41:59 : burn       : Sniper                    : PBAOE                     : Incendiary Blast          :              :              : 529   
01:41:59 : burn       : Sniper                    : Sax                       : Incendiary Blast          :              :              : 273   
01:41:59 : burn       : Sniper                    : HuntyPet                  : Incendiary Blast          :              :              : 401   
01:41:59 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 197   
01:41:59 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 992   
01:41:59 : poison     : HuntyPet                  : PBAOE                     : Poison Damage Over Time   :              :              : 270   
01:42:00 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 678   
01:42:00 : burn       : Sniper                    : AlbiThere                 : Fire Bolt                 :              :              : 1712  
01:42:00 : burn       : HuntyPet                  : PBAOE                     : fire                      :              :              : 652   
01:42:00 : burn       : Sniper                    : Miha                      : Incendiary Blast          :              :              : 152   
01:42:00 : burn       : Sniper                    : Dispel                    : Incendiary Blast          :              :              : 178   
01:42:00 : burn       : Sniper                    : BigBlackBen               : Incendiary Blast          :              :              : 345   
01:42:00 : burn       : Sniper                    : PBAOE                     : Incendiary Blast          :              :              : 358   
01:42:00 : burn       : Sniper                    : Sax                       : Incendiary Blast          :              :              : 292   
01:42:00 : burn       : Sniper                    : HuntyPet                  : Incendiary Blast          :              :              : 240   
01:42:00 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 109   
01:42:00 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 134   
01:42:00 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 11    
01:42:00 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 15    
01:42:00 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 698   
01:42:00 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 169   
01:42:01 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 191   
01:42:01 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 162   
01:42:01 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 11    
01:42:01 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 15    
01:42:01 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 325   
01:42:01 : burn       : Sniper                    : BigBlackBen               : Fire Bolt                 :              :              : 1344  
01:42:01 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 527   
01:42:01 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 131   
01:42:01 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 104   
01:42:01 : burn       : BigBlackBen               : BigBlackBen               : Cleansing Flame           :              :              : 11    
01:42:01 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 15    
01:42:01 : hurt       : Miha                      : Tupac                     : Dread Dissonance          :              :              : 259   
01:42:02 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 1071  
01:42:02 : poison     : lover                     : Tupac                     : Steal Breath              :              :              : 97    
01:42:02 : burn       : Someone                   : AlbiThere ForYou          : Ignite                    :              :              : 411   
01:42:02 : burn       : HuntyPet                  : AlbiThere                 : fire                      :              :              : 735   
01:42:02 : hurt       : Miha                      : Tupac                     : Dread Dissonance          :              :              : 266   
01:42:02 : burn       : Someone                   : BigBlackBen               : Ignite                    :              :              : 278   
01:42:02 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 65    
01:42:02 : poison     : lover                     : Tupac                     : Steal Breath              :              :              : 151   
01:42:02 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 171   
01:42:03 : burn       : Someone                   : AlbiThere ForYou          : Ignite                    :              :              : 253   
01:42:03 : strike     : Dispel                    : Tupac                     : holy weapon               :              :              : 236   
01:42:03 : strike     : lover                     : Tupac                     : poisonous weapon          :              :              : 747   
01:42:03 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 404   
01:42:03 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 168   
01:42:03 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 110   
01:42:03 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 431   
01:42:03 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 505   
01:42:03 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 88    
01:42:04 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 78    
01:42:04 : burn       : Sniper                    : Long                      : Ignite                    :              :              : 678   
01:42:04 : engulf     : lover                     : BigBlackBen               : darnkness                 :              :              : 544   
01:42:04 : poison     : lover                     : BigBlackBen               : Steal Breath              :              :              : 235   
01:42:04 : burn       : Sniper                    : BigBlackBen               : Ignite                    :              :              : 693   
01:42:04 : hurt       : Miha                      : BigBlackBen               : Dread Dissonance          :              :              : 372   
01:42:04 : burn       : BigBlackBen               : lover                     : Cleansing Flame           :              :              : 95    
01:42:04 : burn       : Sniper                    : Long                      : Ignite                    :              :              : 469   
01:42:04 : freeze     : lover                     : BigBlackBen               : Shadow Bolt               :              :              : 461   
01:42:04 : burn       : Sniper                    : Long                      : Fire Bolt                 :              :              : 1718  
01:42:04 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 82    
01:42:04 : freeze     : lover                     : BigBlackBen               : Shadow Bolt               :              :              : 428   
01:42:04 : hurt       : Miha                      : BigBlackBen               : Dread Dissonance          :              :              : 381   
01:42:05 : poison     : HuntyPet                  : BigBlackBen               : Poison Damage Over Time   :              :              : 345   
01:42:05 : poison     : lover                     : Long                      : Steal Breath              :              :              : 157   
01:42:05 : burn       : Sniper                    : Long                      : Ignite                    :              :              : 642   
01:42:05 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 57    
01:42:05 : freeze     : lover                     : Long                      : Shadow Bolt               :              :              : 1054  
01:42:05 : freeze     : lover                     : Drooley                   : Shadow Bolt               :              :              : 303   
01:42:05 : poison     : lover                     : Drooley                   : Steal Breath              :              :              : 186   
01:42:05 : burn       : BigBlackBen               : lover                     : Fire Damage Over Time     :              :              : 62    
01:42:06 : freeze     : lover                     : Drooley                   : Shadow Bolt               :              :              : 285   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 892   
01:42:06 : freeze     : lover                     : Drooley                   : Shadow Bolt               :              :              : 367   
01:42:06 : poison     : lover                     : Drooley                   : Steal Breath              :              :              : 180   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 623   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Fire Bolt                 :              :              : 1402  
01:42:06 : freeze     : lover                     : Drooley                   : Shadow Bolt               :              :              : 369   
01:42:06 : hurt       : Miha                      : Drooley                   : Dread Dissonance          :              :              : 538   
01:42:06 : hurt       : Miha                      : AlbiThere                 : Dread Dissonance          :              :              : 360   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 560   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 215   
01:42:06 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 418   
01:42:07 : burn       : Sniper                    : AlbiThere                 : Ignite                    :              :              : 583   
01:42:14 : poison     : lover                     : DMT                       : Steal Breath              :              :              : 175   
01:42:14 : smite      : Noodle                    : you                       : Censure                   :              :              : 365   
01:42:14 : smite      : Fatherjoe                 : you                       : Censure                   :              :              : 470   
01:42:14 : strike     : WoundedKnee               : you                       : Mage Bolt                 :              :              : 172   
01:42:14 : poison     : lover                     : DMT                       : Steal Breath              :              :              : 262   
01:42:14 : hurt       : Miha                      : DMT                       : Dread Dissonance          :              :              : 396   
01:42:14 : burn       : Dispel                    : DMT                       : fire                      :              :              : 1234  
01:42:14 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 139   
01:42:14 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 172   
01:42:14 : smite      : Fatherjoe                 : you                       : Censure                   :              :              : 599   
01:42:14 : strike     : HuntyPet                  : Guru                      : holy weapon               :              :              : 711   
01:42:14 : strike     : WoundedKnee               : you                       : Mage Bolt                 :              :              : 205   
01:42:15 : burn       : Fkrah                     : lover                     : Uvoriel's Judgment        :              :              : 206   
01:42:15 : smite      : deez                      : you                       : Censure                   :              :              : 467   
01:42:15 : strike     : WoundedKnee               : you                       : Mage Bolt                 :              :              : 240   
01:42:15 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 317   
01:42:15 : smite      : Fatherjoe                 : you                       : Censure                   :              :              : 629   
01:42:15 : strike     : Bog                       : you                       : Unholy Blast              :              :              : 620   
01:42:15 : strike     : Guru                      : lover                     : Mage Bolt                 :              :              : 576   
01:42:15 : strike     : PvPP                      : you                       : Mage Bolt                 :              :              : 444   
01:42:15 : strike     : WoundedKnee               : you                       : Mage Bolt                 :              :              : 502   
