Version     :: 0.0.11.0
DateTime    :: 11/7/2023 01:41:36 AM
RegExType   :: Damage :: Spell
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.*?)[r']{1}[s]* (?<ability>.*?) (?<type>\w{3,11}?)s (?<target>.*) for (?<value>\d*) .*[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
01:42:17 : hurt       : Guru                      : lover                     : Sign of Sorthoth          :              :              : 157   
01:42:17 : hurt       : PvPP                      : sudo                      : Sign of Sorthoth          :              :              : 255   
01:42:18 : strike     : PvPP                      : sudo                      : Mage Bolt                 :              :              : 302   
01:42:18 : strike     : WoundedKnee               : Sniper                    : Mage Bolt                 :              :              : 153   
01:42:18 : hurt       : Miha                      : LogicNC                   : Dread Dissonance          :              :              : 286   
01:42:18 : strike     : Yuckfou                   : Bourbon                   : Unholy Blast              :              :              : 477   
01:42:18 : strike     : Bog                       : sudo                      : Unholy Blast              :              :              : 717   
01:42:18 : burn       : Someone                   : Vashteera's Companion     : Incendiary Blast          :              :              : 269   
01:42:18 : burn       : Someone                   : Noodle                    : Incendiary Blast          :              :              : 248   
01:42:18 : burn       : Someone                   : WoundedKnee               : Incendiary Blast          :              :              : 308   
01:42:18 : burn       : Someone                   : Fkrah                     : Incendiary Blast          :              :              : 329   
01:42:18 : burn       : Someone                   : Fatherjoe                 : Incendiary Blast          :              :              : 459   
01:42:18 : hurt       : PvPP                      : sudo                      : Sign of Sorthoth          :              :              : 254   
01:42:18 : strike     : PvPP                      : Sax                       : Mage Bolt                 :              :              : 520   
01:42:18 : poison     : lover                     : LogicNC                   : Steal Breath              :              :              : 65    
01:42:18 : hurt       : Miha                      : LogicNC                   : Dread Dissonance          :              :              : 180   
01:42:18 : strike     : WoundedKnee               : WoundedKnee               : Mage Bolt                 :              :              : 90    
01:42:18 : strike     : PvPP                      : Sax                       : Mage Bolt                 :              :              : 482   
01:42:18 : poison     : SeeNo                     : Sax                       : Steal Breath              :              :              : 107   
01:42:18 : burn       : Someone                   : Vashteera's Companion     : Incendiary Blast          :              :              : 213   
01:42:18 : burn       : Someone                   : WoundedKnee               : Incendiary Blast          :              :              : 225   
01:42:18 : strike     : PvPP                      : Sax                       : Mage Bolt                 :              :              : 260   
01:42:18 : burn       : Someone                   : Fkrah                     : Incendiary Blast          :              :              : 131   
01:42:18 : burn       : Someone                   : Fatherjoe                 : Incendiary Blast          :              :              : 261   
01:42:18 : burn       : Someone                   : Noodle                    : Incendiary Blast          :              :              : 219   
01:42:18 : hurt       : PvPP                      : sudo                      : Sign of Sorthoth          :              :              : 163   
01:42:19 : hurt       : Miha                      : LogicNC                   : Dread Dissonance          :              :              : 257   
01:42:19 : poison     : lover                     : LogicNC                   : Steal Breath              :              :              : 77    
