Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Drain :: Backstab
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<target>.*?) (?<type>.*?)[e]?[s]? (?<value>\d*) points of (?<event_type>.*?)\W?damage from (?<source>\w*)[r']?[s]? (?<ability>.*)[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 150   
16:14:24 : suffer     : wreck                     : wreck                     : poison                    :              :              : 15    
16:14:24 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 20    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 116   
16:14:25 : suffer     : wreck                     : wreck                     : poison                    :              :              : 15    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 20    
16:14:25 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 152   
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 19    
16:14:25 : suffer     : wreck                     : wreck                     : poison                    :              :              : 14    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 234   
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 19    
16:14:25 : suffer     : wreck                     : wreck                     : poison                    :              :              : 13    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 18    
16:14:25 : suffer     : wreck                     : Dispel                    : poison                    :              :              : 446   
16:14:25 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 287   
16:14:25 : suffer     : wreck                     : wreck                     : poison                    :              :              : 1     
16:14:25 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 28    
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 214   
16:14:26 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 27    
16:14:26 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 28    
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 247   
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 238   
16:14:26 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:26 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 29    
16:14:27 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 30    
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 287   
16:14:27 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 191   
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 16    
16:14:27 : suffer     : wreck                     : wreck                     : poison                    :              :              : 0     
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 141   
16:14:27 : suffer     : wreck                     : TyyppVee                  : poison                    :              :              : 19    
16:15:32 : suffer     : LDSU                      : YiP                       : poison                    :              :              : 103   
16:15:32 : suffer     : LDSU                      : YiP                       : poison                    :              :              : 104   
16:15:32 : suffer     : LDSU                      : YiP                       : poison                    :              :              : 137   
16:15:33 : suffer     : LDSU                      : YiP                       : poison                    :              :              : 185   
16:15:43 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 210   
16:15:44 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:45 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:46 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:46 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:47 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:48 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:49 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:49 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:50 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:51 : suffer     : SPA                       : Sax                       : Pellegorn poison          :              :              : 179   
16:15:51 : suffer     : SOMEONE                   : Sax                       : Pellegorn poison          :              :              : 179   
16:17:02 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 128   
16:17:03 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 140   
16:17:03 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 95    
16:17:04 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 106   
16:17:05 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 69    
16:17:06 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 81    
16:17:07 : suffer     : paul                      : BigBlackBen               : poison                    :              :              : 78    
16:17:17 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:18 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:18 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:19 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:20 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:21 : suffer     : Flimzy                    : sudo                      : Pellegorn poison          :              :              : 128   
16:17:24 : suffer     : Flimzy                    : TypeVee                   : Pellegorn poison          :              :              : 171   
16:17:25 : suffer     : Flimzy                    : TypeVee                   : Pellegorn poison          :              :              : 171   
16:17:26 : suffer     : Flimzy                    : TypeVee                   : Pellegorn poison          :              :              : 171   
16:17:30 : suffer     : Flimzy                    : Luke                      : Pellegorn poison          :              :              : 165   
16:17:31 : suffer     : Flimzy                    : Luke                      : Pellegorn poison          :              :              : 160   
16:17:36 : suffer     : Flimzy                    : Que                       : Pellegorn poison          :              :              : 145   
16:17:37 : suffer     : Flimzy                    : Que                       : Pellegorn poison          :              :              : 141   
16:17:38 : suffer     : Flimzy                    : Que                       : Pellegorn poison          :              :              : 141   
16:17:38 : suffer     : Flimzy                    : Que                       : Pellegorn poison          :              :              : 141   
16:17:52 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 190   
16:17:52 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 17    
16:17:52 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 22    
16:17:53 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 186   
16:17:53 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 16    
16:17:53 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 21    
16:17:53 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 16    
16:17:53 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 179   
16:17:54 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 22    
16:17:54 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 180   
16:17:54 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 16    
16:17:54 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 22    
16:17:55 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 240   
16:17:55 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 17    
16:17:55 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 23    
16:17:56 : suffer     : NnAF                      : NnAF                      : poison                    :              :              : 18    
16:17:56 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 224   
16:17:56 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 24    
16:17:57 : suffer     : NnAF                      : HuntyPet                  : poison                    :              :              : 138   
